"","Kingdom","Phylum","Class","Order","Family","Genus"
"ESV19105","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ESV19106","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV19107","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_Incertae_Sedis","Candidatus_Alysiosphaera"
"ESV19108","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19109","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","DA111",NA
"ESV19110","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales",NA,NA
"ESV19111","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces"
"ESV19112","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV19113","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ESV19114","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV19115","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ESV19116","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Virgisporangium"
"ESV19117","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"ESV19118","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter"
"ESV19119","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"ESV19120","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19121","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV19122","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV19123","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_Incertae_Sedis","Reyranella"
"ESV19124","Bacteria","TM6_(Dependentiae)",NA,NA,NA,NA
"ESV19125","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV19126","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV19127","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Neo-b11",NA
"ESV19128","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"ESV19129","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV19130","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus"
"ESV19131","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","Stenotrophobacter"
"ESV19132","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","DA111",NA
"ESV19133","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora"
"ESV19134","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"ESV19135","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV19136","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV19137","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae",NA
"ESV19138","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","11-24"
"ESV19139","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV19140","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales",NA,NA
"ESV19142","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ESV19143","Bacteria","Chloroflexi","SBR2076",NA,NA,NA
"ESV19144","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"ESV19145","Bacteria","Tectomicrobia",NA,NA,NA,NA
"ESV19146","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV19147","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"ESV19149","Bacteria","Chloroflexi","Ktedonobacteria","JG30-KF-AS9",NA,NA
"ESV19151","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV19152","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis"
"ESV19153","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ESV19154","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ESV19155","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquincola"
"ESV19156","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas"
"ESV19158","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA
"ESV19159","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19160","Bacteria","Planctomycetes","OM190",NA,NA,NA
"ESV19161","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV19162","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV19163","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"ESV19164","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"ESV19165","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA
"ESV19166","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV19167","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ESV19168","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ESV19169","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ESV19170","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",NA
"ESV19171","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera"
"ESV19172","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV19173","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"ESV19174","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41",NA
"ESV19175","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA
"ESV19176","Bacteria","Chloroflexi","P2-11E",NA,NA,NA
"ESV19177","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV19178","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Frondihabitans"
"ESV19179","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"ESV19180","Bacteria","Chloroflexi","JG37-AG-4",NA,NA,NA
"ESV19181","Bacteria","Actinobacteria","FFCH16263",NA,NA,NA
"ESV19183","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV19184","Bacteria","Chloroflexi","JG37-AG-4",NA,NA,NA
"ESV19185","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae",NA
"ESV19186","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae",NA
"ESV19187","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","DA111",NA
"ESV19188","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Chryseolinea"
"ESV19189","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV19190","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter"
"ESV19191","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae",NA
"ESV19192","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV19193","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV19194","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19195","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter"
"ESV19196","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces"
"ESV19197","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ESV19198","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19199","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV19200","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIV","FamilyI",NA
"ESV19201","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA
"ESV19202","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"ESV19204","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV19205","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ESV19206","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ESV19207","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV19208","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV19209","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA
"ESV19210","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfurellales","Desulfurellaceae","H16"
"ESV19211","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae",NA
"ESV19212","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"ESV19213","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA
"ESV19214","Bacteria","Chloroflexi","Ktedonobacteria","JG30-KF-AS9",NA,NA
"ESV19215","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella"
"ESV19216","Bacteria","Chloroflexi","S085",NA,NA,NA
"ESV19217","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"ESV19218","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ESV19220","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfurellales","Desulfurellaceae","G55"
"ESV19221","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces"
"ESV19223","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Ohtaekwangia"
"ESV19224","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV19225","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",NA
"ESV19226","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter"
"ESV19227","Bacteria","Planctomycetes","OM190",NA,NA,NA
"ESV19228","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Planifilum"
"ESV19229","Bacteria","Chloroflexi","S085",NA,NA,NA
"ESV19230","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV19231","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","DA111",NA
"ESV19232","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19233","Bacteria","Chloroflexi","Ktedonobacteria","JG30-KF-AS9",NA,NA
"ESV19235","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV19236","Bacteria","Chloroflexi","S085",NA,NA,NA
"ESV19237","Bacteria","Acidobacteria","Subgroup_2",NA,NA,NA
"ESV19238","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV19239","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","AKYH767",NA
"ESV19240","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19241","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41",NA
"ESV19242","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ESV19243","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19244","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces"
"ESV19245","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV19246","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium"
"ESV19247","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"ESV19248","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV19249","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV19250","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_Incertae_Sedis","Reyranella"
"ESV19251","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV19252","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA
"ESV19253","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV19254","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","11-24"
"ESV19255","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter"
"ESV19256","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV19257","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ESV19258","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA
"ESV19259","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter"
"ESV19260","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA
"ESV19261","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible_genus_04"
"ESV19262","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae",NA
"ESV19263","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"ESV19264","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV19265","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter"
"ESV19266","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces"
"ESV19267","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ESV19268","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces"
"ESV19269","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV19270","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus"
"ESV19271","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"ESV19272","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aminobacter"
"ESV19273","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV19274","Bacteria","Verrucomicrobia","OPB35_soil_group",NA,NA,NA
"ESV19275","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","KD3-93",NA
"ESV19276","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Nordella"
"ESV19277","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter"
"ESV19278","Bacteria","Chloroflexi","Chloroflexia","Herpetosiphonales","Herpetosiphonaceae","Herpetosiphon"
"ESV19279","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42",NA
"ESV19280","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Rhizomicrobium"
"ESV19281","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ESV19282","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19283","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter"
"ESV19284","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophaga"
"ESV19285","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ESV19286","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV19287","Bacteria","Acidobacteria","Subgroup_2",NA,NA,NA
"ESV19288","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV19289","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter"
"ESV19290","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA
"ESV19291","Bacteria","Acidobacteria","Subgroup_2",NA,NA,NA
"ESV19292","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ESV19293","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ESV19294","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA
"ESV19295","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV19296","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Myxococcus"
"ESV19297","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfurellales","Desulfurellaceae","G55"
"ESV19298","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","0319-6M6",NA
"ESV19299","Bacteria","Chloroflexi","P2-11E",NA,NA,NA
"ESV19301","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ESV19302","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV19303","Bacteria","Planctomycetes","Pla4_lineage",NA,NA,NA
"ESV19304","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium"
"ESV19305","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV19306","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV19307","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"ESV19308","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ESV19309","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19310","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA
"ESV19311","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"ESV19312","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA
"ESV19313","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV19314","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV19315","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas"
"ESV19316","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV19317","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA
"ESV19318","Bacteria","Parcubacteria",NA,NA,NA,NA
"ESV19319","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacterales_Incertae_Sedis","Terrimicrobium"
"ESV19320","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Phycicoccus"
"ESV19321","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV19322","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis"
"ESV19324","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV19325","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ESV19326","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Elev-16S-1332",NA
"ESV19327","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Planifilum"
"ESV19328","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible_genus_04"
"ESV19329","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV19330","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV19331","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ESV19332","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV19333","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"ESV19334","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Paludibaculum"
"ESV19335","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira"
"ESV19336","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA
"ESV19337","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV19338","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA
"ESV19339","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19340","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"ESV19341","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ESV19343","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV19344","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45",NA,NA
"ESV19345","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter"
"ESV19346","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella"
"ESV19347","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19348","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19349","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","DA111",NA
"ESV19350","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA
"ESV19351","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV19352","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Phycicoccus"
"ESV19353","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"ESV19354","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ESV19355","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV19356","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"ESV19357","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV19358","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter"
"ESV19360","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus"
"ESV19361","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_Incertae_Sedis","Reyranella"
"ESV19362","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella"
"ESV19363","Bacteria","Chloroflexi","P2-11E",NA,NA,NA
"ESV19364","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Belnapia"
"ESV19365","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter"
"ESV19366","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV19367","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera"
"ESV19368","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)",NA
"ESV19369","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophaga"
"ESV19370","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ESV19371","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV19372","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21",NA
"ESV19373","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV19374","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_Incertae_Sedis","Candidatus_Alysiosphaera"
"ESV19375","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"ESV19376","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV19377","Bacteria","Planctomycetes","Phycisphaerae","Pla1_lineage",NA,NA
"ESV19378","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV19379","Bacteria","Acidobacteria","Subgroup_25",NA,NA,NA
"ESV19380","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella"
"ESV19381","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV19382","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20",NA,NA
"ESV19383","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus"
